StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1.1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q2.1,Q3.1,Q3_5_TEXT,Q4.1,Q4_6_TEXT,Q5.1,Q6.1,Q7.1,Q8.1,Q9.1,Q9_1_TEXT,F1_annoyance,F2_quality,F3_noise_sensitivity,F4_unpredictable,F5_openness,F6_warm,F7_detail,SPHHQ_Total
2025-05-27 01:26:03,2025-05-27 02:04:13,IP Address,62.194.3.155,100,2289,True,2025-05-27 02:04:13,R_8aCXHtLH9NiIRoz,,,,,52.2271,5.1775,anonymous,EN,1,3,4,3,4,2,3,3,4,2,2,2,3,3,1,2,4,2,3,2,5,4,3,1,31,Female,,Master,,2,1,3,Never,No,,3.25,2.0,2.6666666666666665,2.3333333333333335,2.3333333333333335,4.5,2.0,2.7261904761904767
2025-05-27 02:16:48,2025-05-27 02:38:00,IP Address,62.194.3.155,100,1272,True,2025-05-27 02:38:01,R_8ta1jBLTgfmxxBv,,,,,52.2271,5.1775,anonymous,EN,2,2,2,2,2,3,1,2,4,4,3,4,2,4,1,3,4,2,3,4,4,4,2,3,22,Female,,High School,,1,2,4,Never,No,,2.25,3.5,3.3333333333333335,2.6666666666666665,3.0,4.0,2.5,3.0357142857142856
2025-05-27 09:03:36,2025-05-27 09:23:17,IP Address,77.249.113.209,100,1180,True,2025-05-27 09:23:18,R_2q58L4rGINXiykX,,,,,52.3528,4.8584,anonymous,EN,3,3,4,4,3,4,3,2,3,4,4,3,4,4,1,2,2,2,3,4,2,4,3,1,22,Female,,High School,,1,2,4,Less than once a month,No,,3.25,4.0,3.6666666666666665,1.6666666666666667,3.0,3.0,2.0,2.9404761904761902
2025-05-27 09:23:52,2025-05-27 10:19:33,IP Address,77.249.113.209,100,3340,True,2025-05-27 10:19:33,R_2FA34l2IVlFaQfv,,,,,52.3528,4.8584,anonymous,EN,4,4,5,4,4,5,5,3,1,4,3,3,4,4,2,3,2,5,3,5,2,3,5,3,59,Female,,Master,,5,2,1,Never,No,,3.875,3.5,3.6666666666666665,2.3333333333333335,4.333333333333333,2.5,4.0,3.458333333333333
2025-05-27 10:21:38,2025-05-27 10:49:13,IP Address,77.249.113.209,100,1654,True,2025-05-27 10:49:14,R_2uxPREvfJhuXPzN,,,,,52.3528,4.8584,anonymous,EN,5,3,5,4,5,4,3,2,1,2,4,5,2,5,2,5,3,4,3,3,4,4,5,3,56,Male,,Master,,1,1,2,Never,No,,3.375,3.0,4.0,3.3333333333333335,3.3333333333333335,4.0,4.0,3.5773809523809526
2025-05-27 11:14:41,2025-05-27 13:43:09,IP Address,77.249.113.209,100,8907,True,2025-05-27 13:43:10,R_2NKUc535ueYgArp,,,,,52.3528,4.8584,anonymous,EN,7,4,4,5,3,2,3,3,1,5,3,4,4,3,2,2,4,2,3,3,3,4,5,3,56,Female,,Master,,4,4,3,Never,No,,3.125,4.0,3.6666666666666665,2.6666666666666665,2.6666666666666665,3.5,4.0,3.375
2025-05-27 13:51:03,2025-05-27 14:09:16,IP Address,77.174.178.117,100,1093,True,2025-05-27 14:09:17,R_8J8Itxy1AdquyL0,,,,,52.3528,4.8584,anonymous,EN,8,4,4,5,2,5,4,2,2,3,2,2,2,2,2,2,4,5,4,5,4,4,3,4,24,Male,,High School,,2,2,5,Less than once a month,No,,3.5,2.5,2.0,2.6666666666666665,4.666666666666667,4.0,3.5,3.261904761904762
2025-05-27 14:20:07,2025-05-27 14:51:12,IP Address,77.174.178.117,100,1864,True,2025-05-27 14:51:13,R_8R7mqsBKqxBq9R3,,,,,52.3564,4.8802,anonymous,EN,9,2,3,5,1,1,4,3,3,4,4,3,1,4,2,2,4,3,4,4,4,4,2,1,19,Male,,High School,,4,4,3,Daily,Yes,piano tiles,2.75,4.0,2.6666666666666665,2.6666666666666665,3.6666666666666665,4.0,1.5,3.0357142857142856
2025-05-28 04:23:48,2025-05-28 05:04:48,IP Address,62.194.3.155,100,2460,True,2025-05-28 05:04:48,R_2JZSajDDKA25Vhn,,,,,52.2271,5.1775,anonymous,EN,10,2,2,4,2,1,4,2,3,3,3,4,2,3,1,2,1,3,5,4,5,4,5,4,41,Male,,Bachelor,,4,4,3,Never,No,,2.5,3.0,3.0,1.3333333333333333,4.0,4.5,4.5,3.2619047619047623
2025-05-28 06:35:11,2025-05-28 07:10:02,IP Address,89.205.163.43,100,2091,True,2025-05-28 07:10:03,R_2R3Nuq7RkiAhluz,,,,,51.9168,4.4553,anonymous,EN,11,2,2,4,3,2,4,2,2,4,4,3,4,4,2,2,2,3,4,3,4,2,4,3,72,Male,,Bachelor,,4,3,3,Daily,No,,2.625,4.0,3.6666666666666665,2.0,3.3333333333333335,3.0,3.5,3.1607142857142856
