Code,Level,CorrrectMoves,IncorrectMoves,Coins,Lives,GameOver,Notes
1,Minneapolis,52.0,48.0,20,1,0,
1,Chicago,32.9,67.1,19,2,0,
2,Minneapolis,48.6,51.4,19,1,0,
2,Chicago,47.9,52.1,11,2,0,
3,Minneapolis,56.0,44.0,31,1,1,
3,Chicago,68.6,31.4,34,1,1,
4,Chicago,70.1,29.9,28,0,2,
4,Minneapolis,56.8,43.2,22,0,2,
5,Chicago,54.6,45.4,22,0,2,
5,Minneapolis,49.1,50.9,35,1,1,
7,Minneapolis,49.7,50.3,13,1,1,
7,Chicago,46.0,54.0,22,1,1,Results didn't show
8,Minneapolis,55.4,44.6,27,2,1,
8,Chicago,72.9,27.1,34,1,0,
9,Minneapolis,85.9,14.1,12,2,0,
9,Chicago,52.3,47.7,7,3,0,
10,Chicago,71.6,28.4,34,0,2,
10,Minneapolis,52.3,47.7,26,1,1,
11,Chicago,67.6,32.4,23,0,2,
11,Minneapolis,59.4,40.6,21,2,2,
12,Chicago,65.0,35.0,35,2,0,
12,Minneapolis,54.0,48.0,39,2,0,
13,Minneapolis,45.6,54.4,14,0,1,
13,Chicago,53.7,46.3,21,0,1,
14,Minneapolis,48.1,51.9,22,0,1,
14,Chicago,64.0,36.0,23,0,1,
15,Minneapolis,52.6,47.4,30,1,0,adhd
15,Chicago,45.6,54.4,23,2,0,adhd
16,Chicago,71.2,28.8,32,0,1,
16,Minneapolis,63.6,36.4,30,0,2,
17,Chicago,41.1,58.9,28,0,1,
17,Minneapolis,67.0,33.0,38,2,1,
19,Minneapolis,52.6,47.4,17,2,1,
19,Chicago,46.7,53.3,21,1,1,
21,Minneapolis,63.0,37.0,11,1,1,
21,Chicago,36.1,63.9,6,2,1,
22,Chicago,61.9,38.1,27,1,1,
22,Minneapolis,62.2,37.8,25,2,0,
24,Chicago,49.2,50.8,25,1,0,1 demographisch antwoord verwijderen
24,Minneapolis,51.7,48.3,26,2,0,
25,Minneapolis,56.4,43.6,25,2,0,
25,Chicago,32.0,68.0,12,1,0,
26,Minneapolis,50.0,50.0,11,2,1,
26,Chicago,48.0,51.1,17,1,1,
27,Minneapolis,53.4,46.6,33,1,0,
27,Chicago,51.6,51.6,31,0,1,
28,Chicago,40.2,59.6,21,2,1,
28,Minneapolis,53.7,46.3,28,0,1,
29,Chicago,67.9,32.1,29,2,1,
29,Minneapolis,52.0,48.0,26,2,0,
30,Chicago,52.8,47.2,27,2,2,
30,Minneapolis,64.4,35.6,41,0,2,
31,Minneapolis,52.1,47.9,17,2,1,
31,Chicago,43.8,56.2,13,0,1,
32,Minneapolis,51.8,48.2,19,2,2,
32,Chicago,50.4,49.6,22,0,3,
33,Minneapolis,56.3,43.7,30,0,1,
33,Chicago,34.3,65.7,13,2,1,
34,Chicago,46.0,54.0,21,1,0,
34,Minneapolis,69.5,30.5,36,1,1,
35,Chicago,46.2,53.8,23,2,1,
35,Minneapolis,54.8,45.2,30,1,0,
36,Chicago,35.4,64.6,12,1,0,
36,Minneapolis,53.5,46.5,25,3,0,
37,Minneapolis,57.3,42.7,20,3,0,
37,Chicago,46.0,54.0,17,2,1,
38,Minneapolis,54.5,45.5,30,2,0,
38,Chicago,37.5,62.5,22,0,1,
39,Minneapolis,50.0,50.0,19,3,1,
39,Chicago,68.4,31.6,26,0,1,
40,Chicago,84.2,15.8,32,2,0,
40,Minneapolis,75.3,24.7,30,2,1,
41,Chicago,59.4,40.6,9,1,0,
41,Minneapolis,69.4,30.6,22,0,1,
43,Chicago,41.6,58.4,19,2,1,
43,Minneapolis,53.8,46.2,25,2,1,
44,Chicago,45.5,55.5,18,0,1,Verkeerde muziek
44,Minneapolis,47.1,52.9,13,1,0,
