StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Participation Code,Q1,Experience_1,Experience_2,Experience_3,Experience_4,Experience_5,Total
2025-05-27 01:26:14,2025-05-27 01:53:12,IP Address,62.194.3.155,100,1617,True,2025-05-27 01:53:13,R_8GkpSlRHur7ORZK,,,,,52.2271,5.1775,anonymous,EN,1,Minneapolis,65,65,30,70,60,58.0
2025-05-27 01:26:16,2025-05-27 01:57:19,IP Address,62.194.3.155,100,1863,True,2025-05-27 01:57:20,R_81GGDf57pmjSQhs,,,,,52.2271,5.1775,anonymous,EN,1,Chicago,75,85,20,80,75,67.0
2025-05-27 02:16:29,2025-05-27 02:26:14,IP Address,62.194.3.155,100,585,True,2025-05-27 02:26:15,R_8IEDWb2vflIxh85,,,,,52.2271,5.1775,anonymous,EN,2,Minneapolis,75,75,0,90,90,66.0
2025-05-27 02:16:41,2025-05-27 02:34:21,IP Address,62.194.3.155,100,1060,True,2025-05-27 02:34:22,R_82WjbdesyMr6j7o,,,,,52.2271,5.1775,anonymous,EN,2,Chicago,60,65,55,65,60,61.0
2025-05-27 09:03:26,2025-05-27 09:16:59,IP Address,77.249.113.209,100,812,True,2025-05-27 09:16:59,R_80pYEADsluvV4MO,,,,,52.3528,4.8584,anonymous,EN,3,Minneapolis,30,75,55,50,65,55.0
2025-05-27 09:03:30,2025-05-27 09:20:40,IP Address,77.249.113.209,100,1029,True,2025-05-27 09:20:40,R_21hJcJhnd7EaZjl,,,,,52.3528,4.8584,anonymous,EN,3,Chicago,25,35,65,45,45,43.0
2025-05-27 09:23:45,2025-05-27 10:10:04,IP Address,77.249.113.209,100,2779,True,2025-05-27 10:10:04,R_2g59B0m9PQEJl63,,,,,52.3528,4.8584,anonymous,EN,4,Chicago,70,70,20,80,75,63.0
2025-05-27 09:23:47,2025-05-27 10:14:15,IP Address,77.249.113.209,100,3028,True,2025-05-27 10:14:15,R_2HUoqnAgcQOhzn2,,,,,52.3528,4.8584,anonymous,EN,4,Minneapolis,85,75,20,90,75,69.0
2025-05-27 10:21:33,2025-05-27 10:34:54,IP Address,77.249.113.209,100,800,True,2025-05-27 10:34:54,R_2CCpqXdTJIJaZVW,,,,,52.3528,4.8584,anonymous,EN,5,Chicago,65,65,25,70,60,57.0
2025-05-27 10:21:37,2025-05-27 10:43:34,IP Address,77.249.113.209,100,1317,True,2025-05-27 10:43:35,R_8hzQeebr4OBaCtM,,,,,52.3528,4.8584,anonymous,EN,5,Minneapolis,35,35,45,35,40,38.0
