Code,Level,CorrrectMoves,IncorrectMoves,Coins,Lives,GameOver,Notes
1,Minneapolis,52,48,20,1,0,
1,Chicago,"32,9","67,1",19,2,0,
1,Denver,"54,8","45,2",25,1,0,
2,Minneapolis,"48,6","51,4",19,1,0,
2,Denver,"51,4","48,6",10,1,0,
2,Chicago,"47,9","52,1",11,2,0,
3,Denver,"40,1","59,9",29,0,1,
3,Minneapolis,56,44,31,1,1,
3,Chicago,"68,6","31,4",34,1,1,
4,Denver,"35,3","64,7",8,1,1,
4,Chicago,"70,1","29,9",28,0,2,
4,Minneapolis,"56,8","43,2",22,0,2,
5,Chicago,"54,6","45,4",22,0,2,
5,Denver,39,61,19,1,1,
5,Minneapolis,"49,1","50,9",35,1,1,
6,Chicago,"76,6","23,4",35,1,1,2x gespeeld
6,Minneapolis,61,39,29,1,0,
6,Denver,"41,7","58,3",16,0,1,
7,Minneapolis,"49,7","50,3",13,1,1,
7,Chicago,46,54,22,1,1,Results didn't show
7,Denver,"40,1","59,9",16,0,1,
8,Minneapolis,"55,4","44,6",27,2,1,
8,Denver,"41,4","58,6",14,0,1,
8,Chicago,"72,9","27,1",34,1,0,
9,Denver,"49,7","50,3",10,1,0,
9,Minneapolis,"85,9","14,1",12,2,0,
9,Chicago,"52,3","47,7",7,3,0,
10,Denver,50,50,14,1,1,
10,Chicago,"71,6","28,4",34,0,2,
10,Minneapolis,"52,3","47,7",26,1,1,
11,Chicago,"67,6","32,4",23,0,2,
11,Denver,"57,2","42,8",17,2,1,
11,Minneapolis,"59,4","40,6",21,2,2,
12,Chicago,65,35,35,2,0,
12,Minneapolis,54,48,39,2,0,
12,Denver,44,56,26,1,1,
13,Minneapolis,"45,6","54,4",14,0,1,
13,Chicago,"53,7","46,3",21,0,1,
13,Denver,"53,6","46,4",20,0,1,
14,Minneapolis,"48,1","51,9",22,0,1,
14,Denver,"40,2","59,8",21,0,0,
14,Chicago,64,36,23,0,1,
15,Denver,"42,6","57,4",18,0,1,adhd
15,Minneapolis,"52,6","47,4",30,1,0,adhd
15,Chicago,"45,6","54,4",23,2,0,adhd
16,Denver,"47,1","52,9",22,0,1,
16,Chicago,"71,2","28,8",32,0,1,
16,Minneapolis,"63,6","36,4",30,0,2,
17,Chicago,"41,1","58,9",28,0,1,
17,Minneapolis,67,33,38,2,1,
17,Denver,"40,2","59,8",37,1,1,
18,Chicago,"46,3","53,7",19,2,1,alles ingedrukt
18,Denver,"38,9","61,1",27,2,1,alles ingedrukt
18,Minneapolis,"54,3","45,7",21,0,2,alles ingedrukt
19,Minneapolis,"52,6","47,4",17,2,1,
19,Chicago,"46,7","53,3",21,1,1,
19,Denver,"38,9","61,1",18,1,1,
20,Minneapolis,"47,8","52,2",32,0,2,alles ingedrukt
20,Denver,"45,3","54,7",15,0,1,
20,Chicago,"77,1","22,9",31,2,2,
21,Denver,"52,2","47,8",11,2,0,
21,Minneapolis,63,37,11,1,1,
21,Chicago,"36,1","63,9",6,2,1,
22,Denver,"53,3","46,7",8,2,0,
22,Chicago,"61,9","38,1",27,1,1,
22,Minneapolis,"62,2","37,8",25,2,0,
23,Chicago,"35,3","64,7",25,1,0,Alles ingedrukt
23,Denver,39,61,23,1,0,
23,Minneapolis,"53,6","46,4",27,1,0,
24,Chicago,"49,2","50,8",25,1,0,1 demographisch antwoord verwijderen
24,Minneapolis,"51,7","48,3",26,2,0,
24,Denver,"39,3","60,7",22,0,1,
25,Minneapolis,"56,4","43,6",25,2,0,
25,Chicago,32,68,12,1,0,
25,Denver,36,64,15,1,0,
26,Minneapolis,50,50,11,2,1,
26,Denver,"49,8","50,2",18,2,2,
26,Chicago,48,"51,1",17,1,1,
27,Denver,"40,1","59,9",18,0,1,
27,Minneapolis,"53,4","46,6",33,1,0,
27,Chicago,"51,6","51,6",31,0,1,
28,Denver,"35,5","64,5",11,1,0,
28,Chicago,"40,2","59,6",21,2,1,
28,Minneapolis,"53,7","46,3",28,0,1,
29,Chicago,"67,9","32,1",29,2,1,
29,Denver,"44,4","55,6",20,1,0,
29,Minneapolis,52,48,26,2,0,
30,Chicago,"52,8","47,2",27,2,2,
30,Minneapolis,"64,4","35,6",41,0,2,
30,Denver,"64,3","35,7",30,2,2,
31,Minneapolis,"52,1","47,9",17,2,1,
31,Chicago,"43,8","56,2",13,0,1,
31,Denver,"51,8","48,2",15,0,1,
32,Minneapolis,"51,8","48,2",19,2,2,
32,Denver,36,64,18,1,1,
32,Chicago,"50,4","49,6",22,0,3,
33,Denver,"51,9","48,1",18,1,1,
33,Minneapolis,"56,3","43,7",30,0,1,
33,Chicago,"34,3","65,7",13,2,1,
34,Denver,32,68,17,0,1,
34,Chicago,46,54,21,1,0,
34,Minneapolis,"69,5","30,5",36,1,1,
35,Chicago,"46,2","53,8",23,2,1,
35,Denver,"61,9","38,1",31,1,1,
35,Minneapolis,"54,8","45,2",30,1,0,
36,Chicago,"35,4","64,6",12,1,0,
36,Minneapolis,"53,5","46,5",25,3,0,
36,Denver,"44,4","55,6",22,0,1,
37,Minneapolis,"57,3","42,7",20,3,0,
37,Chicago,46,54,17,2,1,
37,Denver,42,58,18,2,0,
38,Minneapolis,"54,5","45,5",30,2,0,
38,Denver,"38,9","61,1",21,2,1,
38,Chicago,"37,5","62,5",22,0,1,
39,Denver,"33,3","66,7",13,2,0,
39,Minneapolis,50,50,19,3,1,
39,Chicago,"68,4","31,6",26,0,1,
40,Denver,"68,2","31,8",23,0,1,
40,Chicago,"84,2","15,8",32,2,0,
40,Minneapolis,"75,3","24,7",30,2,1,
41,Chicago,"59,4","40,6",9,1,0,
41,Denver,"49,1","50,9",9,2,0,
41,Minneapolis,"69,4","30,6",22,0,1,
42,Chicago,"80,3","19,7",37,1,2,2x gedaan
42,Minneapolis,"52,4","47,6",29,2,2,
42,Denver,"39,7","60,3",22,0,2,
43,Chicago,"41,6","58,4",19,2,1,
43,Minneapolis,"53,8","46,2",25,2,1,
43,Denver,"43,9","56,1",21,1,0,
44,Chicago,"45,5","55,5",18,0,1,Verkeerde muziek
44,Denver,"43,1","56,9",8,0,1,
44,Minneapolis,"47,1","52,9",13,1,0,
